FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.1017,1017,POINT (16.333080303539962 48.194560345202134),Turnsaal,"15., Friedrichsplatz 5",188,Turnsaal 97 m≤<br />Turnsaal 91 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1018,1018,POINT (16.333525185055716 48.1905317612261),Turnsaal,"15., Friesgasse 10",138,Turnsaal 138 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1019,1019,POINT (16.33404622422053 48.19063339471217),Schulsport outdoor,"15., Friesgasse 4",180,Hartplatz 180 m≤,http://www.schulefriesgasse.ac.at/index_noflash.html,
SPORTSTAETTENOGD.1020,1020,POINT (16.334059673643743 48.190642388150735),Turnsaal,"15., Friesgasse 4",997,Turnsaal 1 405 m≤<br />Turnsaal 2 224 m≤<br />Turnsaal 3 298 m≤<br />Gymnastikraum 70 m≤,http://www.schulefriesgasse.ac.at/index_noflash.html,
SPORTSTAETTENOGD.1021,1021,POINT (16.315481094145586 48.19468183992161),Turnsaal,"15., Goldschlagstraﬂe 113",122,Turnsaal 122 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1022,1022,POINT (16.33520222960068 48.19891947205017),Turnsaal,"15., Goldschlagstraﬂe 14-16",122,Turnsaal 122 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1023,1023,POINT (16.328799880689687 48.1882915458312),Schulsport outdoor,"15., Grimmgasse 18",1215,Sporthalle 1215 m≤,http://www.univie.ac.at/USI-Wien/,
SPORTSTAETTENOGD.1024,1024,POINT (16.32800913207982 48.18823086551138),Turnsaal,"15., Grimmgasse 18",7625,"Mehrzweckplatz,<br />Leichtathletikanlage,<br />Tennis gesamt 7625 m≤",http://www.univie.ac.at/USI-Wien/,
SPORTSTAETTENOGD.1025,1025,POINT (16.33221048074679 48.19042083859263),Turnsaal,"15., Henriettenplatz 6",182,Turnsaal 182 m≤,,
SPORTSTAETTENOGD.1026,1026,POINT (16.335057982314954 48.20111587766714),Turnsaal,"15., H¸tteldorfer Straﬂe 7-17",505,Turnsaal 73 m≤<br />Turnsaal 94 m≤<br />Turnsaal 180 m≤<br />Turnsaal 158 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1027,1027,POINT (16.318872016106372 48.197193656839666),Turnsaal,"15., Johnstraﬂe 40",144,Turnsaal 144 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1028,1028,POINT (16.323438525933117 48.19117204267893),Turnsaal,"15., Kauergasse 3-5",321,Turnsaal 150 m≤<br />Turnsaal 171 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1029,1029,POINT (16.322797350527026 48.19593575858526),Turnsaal,"15., Krˆllgasse 20",124,Turnsaal 124 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1030,1030,POINT (16.32223821541022 48.19682646879448),Turnsaal,"15., Krˆllgasse 26",123,Turnsaal 123 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1031,1031,POINT (16.31912141981909 48.197562145004156),Turnsaal,"15., Meiselstraﬂe 19",139,Turnsaal 139 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1032,1032,POINT (16.331536540128727 48.185547394228585),Turnsaal,"15., Ortnergasse 4",199,Turnsaal 56 m≤<br />Turnsaal 143 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1033,1033,POINT (16.325044640590356 48.18900520487135),Turnsaal,"15., Reichsapfelgasse 30",516,Turnsaal 390 m≤<br />Turnsaal 126 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1034,1034,POINT (16.325058088012415 48.18901419936544),Schulsport outdoor,"15., Reichsapfelgasse 30",765,Hartplatz 545 m≤<br />Hartplatz 220 m≤,,
SPORTSTAETTENOGD.1035,1035,POINT (16.324621690209405 48.189468133886535),Schulsport outdoor,"15., Reichsapfelgasse 31",663,Spielplatz 663 m≤,,
SPORTSTAETTENOGD.1036,1036,POINT (16.329594836079494 48.1963970627695),Turnsaal,"15., Schweglerstraﬂe 2-4",144,Turnsaal 144 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1037,1037,POINT (16.32947952915067 48.196627371970706),Turnsaal,"15., Schweglerstraﬂe 6",321,Turnsaal 321 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1038,1038,POINT (16.326682004484717 48.186569539288165),Turnsaal,"15., Sechshauser Straﬂe 71",334,Turnsaal 167 m≤<br />Turnsaal 167 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1039,1039,POINT (16.326682004484717 48.186569539288165),Schulsport outdoor,"15., Sechshauserstraﬂe 71",460,Befestigte Fl‰che 460 m≤,,
SPORTSTAETTENOGD.1040,1040,POINT (16.32324373259344 48.19618420126302),Turnsaal,"15., Selzergasse 19",124,Turnsaal 124 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1041,1041,POINT (16.322715978270764 48.19694442599368),Turnsaal,"15., Selzergasse 25",122,Turnsaal 122 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1042,1042,POINT (16.32272942736248 48.19695342074782),Schulsport outdoor,"15., Selzergasse 25",289,Hartplatz 289 m≤,,
