FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,STRASSE,TYP,BEZEICHNUNG,WEBLINK1,SE_ANNO_CAD_DATA
PARKENVERKAUFOGD.676721,676721,POINT (16.396943492558716 48.15174978102382),"10., Laaer-Berg-Straﬂe 207",10,Laaer-Berg-Straﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676722,676722,POINT (16.390762489166992 48.164272131250335),"10., Laaer-Berg-Straﬂe 84",10,Laaer-Berg-Straﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676723,676723,POINT (16.396740691321547 48.1479903420905),"10., Laaer-Berg-Straﬂe 240",10,Laaer-Berg-Straﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676724,676724,POINT (16.347017201199584 48.165488733233424),"10., Triester Straﬂe 68",10,Triester Straﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676725,676725,POINT (16.356597523102202 48.17733915475802),"10., Triester Straﬂe 38",10,Triester Straﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676726,676726,POINT (16.341337671763103 48.15717073749884),"10., Triester Straﬂe 104",10,Triester Straﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676727,676727,POINT (16.341637725633227 48.1563949648946),"10., Triester Straﬂe 153",10,Triester Straﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676728,676728,POINT (16.357969104109245 48.17873950621919),"10., Triester Straﬂe 6-8",10,Triester Straﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676729,676729,POINT (16.46318455282643 48.15138857314103),"11., Etrichstraﬂe 42",11,Etrichstraﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676730,676730,POINT (16.4109033523409 48.16635242973057),"11., Gadnergasse 1",11,Gadnergasse,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676731,676731,POINT (16.45770248929067 48.15993828394853),"11., Kaiser-Ebersdorfer Straﬂe 248-250",11,Kaiser-Ebersdorfer Straﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676732,676732,POINT (16.409558982014318 48.17019008339154),"11., Leberstraﬂe 112-114",11,Leberstraﬂe,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676733,676733,POINT (16.471404245409943 48.161232204537654),"11., Zinnergasse 4",11,Zinnergasse,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
