FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.17778,POINT (16.33334566671437 48.21434714570138),Auslaufbrunnen,17778,
TRINKBRUNNENOGD.17779,POINT (16.43312168799487 48.20587321611565),Auslaufbrunnen,17779,
TRINKBRUNNENOGD.17780,POINT (16.430102239473307 48.20798789920941),Auslaufbrunnen,17780,
TRINKBRUNNENOGD.17781,POINT (16.402800386798706 48.233508764480966),Auslaufbrunnen,17781,
TRINKBRUNNENOGD.17782,POINT (16.416571817229787 48.21772110283356),Auslaufbrunnen,17782,
TRINKBRUNNENOGD.17783,POINT (16.413878912258127 48.219703450103694),Auslaufbrunnen,17783,
TRINKBRUNNENOGD.17784,POINT (16.405307753544548 48.230994148619104),Auslaufbrunnen,17784,
TRINKBRUNNENOGD.17785,POINT (16.411581547722285 48.22152825876227),Auslaufbrunnen,17785,
TRINKBRUNNENOGD.17786,POINT (16.335905072586495 48.210496611228),Auslaufbrunnen,17786,
TRINKBRUNNENOGD.17787,POINT (16.403038237645866 48.22810692777952),Auslaufbrunnen,17787,
TRINKBRUNNENOGD.17788,POINT (16.351974083668342 48.19391421864861),Auslaufbrunnen,17788,
TRINKBRUNNENOGD.17789,POINT (16.349449252695432 48.22440062418192),Auslaufbrunnen,17789,
TRINKBRUNNENOGD.17790,POINT (16.394650256427234 48.3001589838054),Auslaufbrunnen,17790,
TRINKBRUNNENOGD.17791,POINT (16.402282094038974 48.30865278426078),Auslaufbrunnen,17791,
TRINKBRUNNENOGD.17792,POINT (16.265747109820268 48.2212406477316),Auslaufbrunnen,17792,
TRINKBRUNNENOGD.17793,POINT (16.25542680011075 48.17852208385893),Auslaufbrunnen,17793,
TRINKBRUNNENOGD.17794,POINT (16.350272273529765 48.28186134697879),Auslaufbrunnen,17794,
TRINKBRUNNENOGD.17795,POINT (16.372427417859342 48.246646505353816),Auslaufbrunnen,17795,
TRINKBRUNNENOGD.17796,POINT (16.39916043449316 48.25640244653281),Auslaufbrunnen,17796,
TRINKBRUNNENOGD.17797,POINT (16.436466716594925 48.18863270774263),Auslaufbrunnen,17797,
TRINKBRUNNENOGD.17798,POINT (16.46855543819484 48.15978685437469),Auslaufbrunnen,17798,
TRINKBRUNNENOGD.17799,POINT (16.354327799498172 48.2772022402812),Auslaufbrunnen,17799,
TRINKBRUNNENOGD.17800,POINT (16.352803341423854 48.27953030086507),Auslaufbrunnen,17800,
TRINKBRUNNENOGD.17801,POINT (16.336601741224182 48.27519482864341),Auslaufbrunnen,17801,
TRINKBRUNNENOGD.17802,POINT (16.25297557721637 48.19830933923793),Auslaufbrunnen,17802,
TRINKBRUNNENOGD.17803,POINT (16.434176422765997 48.2433029714938),Auslaufbrunnen,17803,
TRINKBRUNNENOGD.17804,POINT (16.470801576703867 48.208411773691864),Auslaufbrunnen,17804,
TRINKBRUNNENOGD.17805,POINT (16.32787703978656 48.21567705450714),Auslaufbrunnen,17805,
TRINKBRUNNENOGD.17806,POINT (16.383833042586936 48.30272772009335),Auslaufbrunnen,17806,
