FID,OBJECTID,SHAPE,TEXT13ID,P_TYP,T_TEXT,T_LANG,O,P,SE_ANNO_CAD_DATA
OEFFGRUENPKTGOGD.1938,1938,POINT (16.48638403883376 48.26496945973198),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1939,1939,POINT (16.488947751249114 48.26083684459437),Breitenlee B*,Z,Azaleengasse,Azaleengasse,1,0,
OEFFGRUENPKTGOGD.1940,1940,POINT (16.478259724793773 48.26964720767136),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1941,1941,POINT (16.475236762803426 48.273108743869386),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1942,1942,POINT (16.476006649615766 48.270682206832326),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1943,1943,POINT (16.491847181143523 48.28862886128409),Elfingerweg,Z,Elfingerweg/ÖBB Nordbahn,ÖBB Nordbahn,1,0,
OEFFGRUENPKTGOGD.1944,1944,POINT (16.50218454805236 48.29025197368939),Elfingerweg,Z,Elfingerweg,Elfingerweg,1,0,
OEFFGRUENPKTGOGD.1945,1945,POINT (16.488932370665726 48.29272481702999),Elfingerweg,Z,Elfingerweg,Elfingerweg,1,0,
OEFFGRUENPKTGOGD.1946,1946,POINT (16.50162063799983 48.289373364398806),Elfingerweg,Z,Elfingerweg,Elfingerweg,1,0,
OEFFGRUENPKTGOGD.1947,1947,POINT (16.495882731255186 48.256468852244595),Pelargonienw*,Z,Pelargonienweg,Pelargonienweg,1,0,
OEFFGRUENPKTGOGD.1948,1948,POINT (16.496691206390548 48.25478555798019),Pelargonienw*,Z,Pelargonienweg,Pelargonienweg,1,0,
OEFFGRUENPKTGOGD.1949,1949,POINT (16.492152082876682 48.25119336680503),Breiten-lee *,Z,Breitenleer Straße,Breitenleer Straße,1,0,
OEFFGRUENPKTGOGD.1950,1950,POINT (16.492242497050345 48.25331586825397),Breiten-lee *,Z,Breitenleer Straße,Breitenleer Straße,1,0,
OEFFGRUENPKTGOGD.1951,1951,POINT (16.482976037639276 48.251606767123725),Spargelfelds*,Z,Spargelfeldstraße,Spargelfeldstraße,1,0,
OEFFGRUENPKTGOGD.1952,1952,POINT (16.486030949643887 48.25691862930495),Spargelfelds*,Z,Spargelfeldstraße,Spargelfeldstraße,1,0,
OEFFGRUENPKTGOGD.1953,1953,POINT (16.469439793542172 48.2303903880824),Hirschst St*,Z,Hirschst Straße / *,Hirschstettner Straße / Contiweg,1,0,
OEFFGRUENPKTGOGD.1954,1954,POINT (16.470237127749638 48.230740869224334),Hirschst St*,Z,Hirschst Straße / *,Hirschstettner Straße / Contiweg,1,0,
OEFFGRUENPKTGOGD.1955,1955,POINT (16.443856817134133 48.23034264111251),Park Schrein*,Z,Park Schreinerweg,Parkanlage Schreinerweg,1,0,
OEFFGRUENPKTGOGD.1956,1956,POINT (16.426739360921378 48.25767366329934),Satzingerweg,Z,Satzingerweg,Satzingerweg,1,0,
OEFFGRUENPKTGOGD.1957,1957,POINT (16.42791199973753 48.260201182576914),Satzingerweg,Z,Satzingerweg,Satzingerweg,1,0,
OEFFGRUENPKTGOGD.1958,1958,POINT (16.43481561466623 48.2676079776436),Schönthalerg*,Z,Schönthalergasse / Felma*,Schönthalergasse / Felmayergasse,1,0,
OEFFGRUENPKTGOGD.1959,1959,POINT (16.43364839512768 48.26983186921285),Schönthalerg*,Z,Schönthalergasse / Felma*,Schönthalergasse / Felmayergasse,1,0,
OEFFGRUENPKTGOGD.1960,1960,POINT (16.44401863939707 48.26613649949068),Stadlweg,Z,Stadlweg,Stadlweg,1,0,
OEFFGRUENPKTGOGD.1961,1961,POINT (16.443969874854673 48.26476957511718),Stadlweg,Z,Stadlweg,Stadlweg,1,0,
OEFFGRUENPKTGOGD.1962,1962,POINT (16.460133104447287 48.28035463731223),Pinka gasse,Z,Pinkagasse,Pinkagasse,1,0,
OEFFGRUENPKTGOGD.1963,1963,POINT (16.460280005138365 48.28059850914672),Pinka gasse,Z,Pinkagasse,Pinkagasse,1,0,
OEFFGRUENPKTGOGD.1964,1964,POINT (16.460715308029823 48.28203584919511),Pinka-gasse,Z,Pinkagasse,Pinkagasse,1,0,
OEFFGRUENPKTGOGD.1965,1965,POINT (16.46063538581305 48.28128288183298),Pinka-gasse,Z,Pinkagasse,Pinkagasse,1,0,
OEFFGRUENPKTGOGD.1966,1966,POINT (16.438395788579946 48.27946014087675),Katharina-SG*,Z,Katharina-Scheiter-Gasse,Katharina-Scheiter-Gasse,1,0,
OEFFGRUENPKTGOGD.1967,1967,POINT (16.4369520776062 48.27526704986103),Katharina-SG*,Z,Katharina-Scheiter-Gasse,Katharina-Scheiter-Gasse,1,0,
OEFFGRUENPKTGOGD.1968,1968,POINT (16.456596334759 48.2779849297634),E-Kein-G,Z,Park Ernst-Kein-G.,Parkanlage Ernst-Kein-Gasse,1,0,
OEFFGRUENPKTGOGD.1969,1969,POINT (16.455648775785107 48.27499464903041),E-Kein-G,Z,Park Ernst-Kein-G.,Parkanlage Ernst-Kein-Gasse,1,0,
OEFFGRUENPKTGOGD.1970,1970,POINT (16.457633377261757 48.27473593345652),E-Kein-G,Z,Park Ernst-Kein-G.,Parkanlage Ernst-Kein-Gasse,1,0,
OEFFGRUENPKTGOGD.1971,1971,POINT (16.456558880731436 48.269801832168),Seyringer St*,Z,Seyringer Staße,Seyringer Staße,1,0,
OEFFGRUENPKTGOGD.1972,1972,POINT (16.455408622939125 48.26988312150279),Seyringer St*,Z,Seyringer Staße,Seyringer Staße,1,0,
OEFFGRUENPKTGOGD.1973,1973,POINT (16.456226386157535 48.272452570315316),Seyringer St*,Z,Seyringer Staße,Seyringer Staße,1,0,
OEFFGRUENPKTGOGD.1974,1974,POINT (16.44556440115374 48.275259031352014),Park Kürschn*,Z,Park Kürschnergasse,Parkanlage Kürschnergasse,1,0,
OEFFGRUENPKTGOGD.1975,1975,POINT (16.44647896881478 48.274191897428764),Park Kürschn*,Z,Park Kürschnergasse,Parkanlage Kürschnergasse,1,0,
