FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.481636,POINT (16.308230964035282 48.20866405510329),Volksschule Landsteinergasse 4 Hans-Christian-Andersen-Schule,"16., Landsteinergasse 4",481636,
SCHULEOGD.481637,POINT (16.333568471714067 48.2296659279387),Volksschule Köhlergasse 9,"18., Köhlergasse 9",481637,
SCHULEOGD.481639,POINT (16.432182670760422 48.1662044032649),Volksschule Florian-Hedorfer-Straße 20,"11., Florian-Hedorfer-Straße 20",481639,
SCHULEOGD.481640,POINT (16.471630025327773 48.21648765806443),Volksschule Hammerfestweg 1,"22., Hammerfestweg 1",481640,
SCHULEOGD.481642,POINT (16.31442573798897 48.151207820336985),Volksschule I Anton-Baumgartner-Straße 44,"23., Anton-Baumgartner-Straße 44",481642,
SCHULEOGD.481643,POINT (16.41505881065437 48.29242040436337),Volksschule Schumpeterweg 3,"21., Schumpeterweg 3",481643,
SCHULEOGD.481646,POINT (16.354944895556564 48.188471601700115),Volksschule Pannaschgasse 6,"5., Pannaschgasse 6",481646,
SCHULEOGD.481647,POINT (16.321236835997446 48.2081768870968),Volksschule Brüßlgasse 18,"16., Brüßlgasse 18",481647,
SCHULEOGD.481648,POINT (16.343398157663138 48.19127633549782),Astrid-Lindgren-Schule,"6., Sonnenuhrgasse 3-5",481648,
SCHULEOGD.481655,POINT (16.401401346714312 48.252345448353104),Volksschule I Prießnitzgasse 1,"21., Prießnitzgasse 1",481655,
SCHULEOGD.481656,POINT (16.331519447056905 48.2177260972171),Volksschule Kindermanngasse 1,"17., Kindermanngasse 1",481656,
SCHULEOGD.481380,POINT (16.41707917473343 48.253336033591246),Volksschule Donaufelder Straße 77,"21., Donaufelder Straße 77",481380,
SCHULEOGD.481382,POINT (16.374872751823865 48.17904050452711),Volksschule Keplerplatz 7,"10., Keplerplatz 7",481382,
SCHULEOGD.481383,POINT (16.38362860735715 48.23936329278079),Volksschule Vorgartenstraße 50,"20., Vorgartenstraße 50",481383,
SCHULEOGD.481385,POINT (16.28213341151864 48.17658064834986),Volksschule Steinlechnergasse 5-7,"13., Steinlechnergasse 5-7",481385,
SCHULEOGD.481386,POINT (16.417565687642064 48.21226172990247),Volksschule Vorgartenstraße 208,"2., Vorgartenstraße 208",481386,
SCHULEOGD.481389,POINT (16.282990513661254 48.19619490963578),Volksschule Felbigergasse 97,"14., Felbigergasse 97",481389,
SCHULEOGD.481390,POINT (16.40095779995707 48.25175602144565),Volksschule II Prießnitzgasse 1,"21., Prießnitzgasse 1",481390,
