FID,SHAPE,MERKMAL,SUBMERKMAL,SE_SDO_ROWID,SE_ANNO_CAD_DATA
RADWEGEOGD.16054593,"LINESTRING (16.380123645429904 48.21953025696916, 16.38013749051681 48.21951165380743, 16.380193464925483 48.21947092029758, 16.380268464341018 48.2194260695711, 16.380560312965578 48.21920860128147, 16.380620633210377 48.219183154251006, 16.38068644834966 48.21916276820468, 16.380955488085743 48.21896561431046)",Markierte Anlagen,Mehrzweckstreifen,16054593,
RADWEGEOGD.16054594,"LINESTRING (16.29665852223403 48.17996144003087, 16.295884121351694 48.17817476718064)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054594,
RADWEGEOGD.16054595,"LINESTRING (16.423330988858634 48.15169086502468, 16.423413081772665 48.15167731276137, 16.42373057078341 48.151625359739896, 16.4239427845146 48.15159552888307, 16.42399681138715 48.15159541561354, 16.42404679928913 48.151599010636595, 16.424104172536538 48.15159884978843, 16.424198113107348 48.15157412724367)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054595,
RADWEGEOGD.16054596,"LINESTRING (16.32155336895541 48.14807154864433, 16.32153428900667 48.14806115900698, 16.321512817358357 48.14804945604622, 16.321428776187243 48.14803504715555)",Getrennte Führung,gemischter Geh- und Radweg,16054596,
RADWEGEOGD.16054597,"LINESTRING (16.340169910519453 48.22526638855936, 16.339189053994655 48.2254381617038)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054597,
RADWEGEOGD.16054598,"LINESTRING (16.389182126817403 48.22377902152533, 16.389186472565115 48.22351766949627)",Markierte Anlagen,Radfahrerüberfahrt,16054598,
RADWEGEOGD.16054599,"LINESTRING (16.34937030011439 48.22445652309435, 16.349356235493712 48.22445516675692, 16.349348495831027 48.22445149844651, 16.34930876368363 48.22433846811234, 16.349295316075903 48.224276740668635, 16.34927681835908 48.22420267519932, 16.34925579947181 48.22411120826646, 16.349235628977866 48.22402142295045, 16.349203694972434 48.22392828452999, 16.349166713006515 48.22383064110573, 16.34905142996746 48.22362137634202, 16.348922210881366 48.22345163162873, 16.34866809896118 48.22318694992541, 16.348463535042345 48.2230402309044, 16.34824605543432 48.22289495179096, 16.347946633137514 48.22274501602068, 16.34775603135699 48.22266706493565, 16.347639615424622 48.22257103883277)",Getrennte Führung,gemischter Geh- und Radweg,16054599,
RADWEGEOGD.16054600,"LINESTRING (16.434371837598814 48.24485222143592, 16.434391742314567 48.24485480342597, 16.43440614875293 48.24485479110394, 16.4344348947693 48.24484798569866, 16.43486864640487 48.24471311263652, 16.435173157398562 48.24464184085356, 16.43529733806989 48.244636364843515, 16.435331292109332 48.24464229797105)",Getrennte Führung,baulicher Radweg,16054600,
RADWEGEOGD.16054601,"LINESTRING (16.25500551758194 48.20979521564849, 16.255005574184782 48.20980197855662, 16.255004154202204 48.20999415272629)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054601,
RADWEGEOGD.16054602,"LINESTRING (16.36892210181639 48.19624928340577, 16.368853285158693 48.19629126531298)",Markierte Anlagen,Radfahrerüberfahrt,16054602,
RADWEGEOGD.16054603,"LINESTRING (16.354217496078192 48.19167069207801, 16.354259110816418 48.19174748744805, 16.35438434551671 48.191976992065435, 16.354531048992374 48.192247142362035, 16.354638386048293 48.192445569052836, 16.354727852383128 48.19261770241986, 16.354777010428545 48.19272085543733, 16.35481251522925 48.19282033244149)",Getrennte Führung,baulicher Radweg,16054603,
RADWEGEOGD.16054604,"LINESTRING (16.280027278153 48.18999833010066, 16.28003801152143 48.189997795738606, 16.28241955355219 48.18988819812239, 16.282443024395285 48.18988692304138)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054604,
RADWEGEOGD.16054605,"LINESTRING (16.462467817413085 48.222080872226705, 16.463597590801843 48.221674689563606)",Markierte Anlagen,Radfahren gegen die Einbahn,16054605,
RADWEGEOGD.16054606,"LINESTRING (16.33082645576038 48.21405260272517, 16.330913204764375 48.21406469345227, 16.331440829509187 48.21415703968133, 16.331584846459574 48.214178700914054)",Markierte Anlagen,Radfahrstreifen (auf Fahrbahn mit Sperrlinie bzw. Leitlinie),16054606,
RADWEGEOGD.16054607,"LINESTRING (16.323717399471494 48.20948363665974, 16.323719135191293 48.209483376043885, 16.32474764868983 48.20932120891351)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054607,
RADWEGEOGD.16054608,"LINESTRING (16.41163654777554 48.30308124308817, 16.411654887504614 48.30307746295446, 16.411718926089982 48.30305820273657, 16.411812255558193 48.3030301459953, 16.41203918265547 48.302987099536175, 16.412468662062278 48.30291693913349, 16.412981140756195 48.302825767878986, 16.413727441886348 48.302708356868195, 16.414452825173576 48.30259436363191, 16.414479884824203 48.302590118458056)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054608,
RADWEGEOGD.16054609,"LINESTRING (16.484784203911587 48.227372657529685, 16.484845064819662 48.22750645081125, 16.485406318578917 48.228776931652284, 16.485661482921543 48.229347502883236, 16.486065611958413 48.230262253756244, 16.48610589206147 48.230352231572226)",Getrennte Führung,baulicher Radweg,16054609,
RADWEGEOGD.16054610,"LINESTRING (16.363415565970776 48.23074362005226, 16.363387240660206 48.23075972451375, 16.363359258203047 48.230787789765174, 16.36334247667136 48.23081959349838, 16.363336686614137 48.23084090861804, 16.363331299577457 48.2308607487665, 16.36333412318628 48.23090564185867, 16.36332014929491 48.230952400515775, 16.363247413307167 48.23106091099978, 16.363158279736204 48.231190136506505, 16.363136905411924 48.23121712995979, 16.363083740446527 48.231275130244335, 16.363055768369062 48.231323771723005, 16.3630417891918 48.23136117747777, 16.36302223207823 48.23143974614379, 16.36299146694771 48.23150148227315, 16.362927119046862 48.23159128484648, 16.36282922400225 48.23175217698011, 16.362757892065524 48.23187283654424, 16.36268517202961 48.23201688753946, 16.362620851999292 48.2321628071172, 16.362576121659714 48.23229187798786, 16.36254259331371 48.2324265669696, 16.36247836001483 48.232742699572775, 16.362433693245087 48.23299710772784, 16.362413919415935 48.233180905024525, 16.362407727766104 48.23320784089181, 16.362392285631213 48.23333418902222, 16.36237375271118 48.233470906942834, 16.362355275956617 48.23371739507563, 16.362318179854906 48.233932825156074, 16.362284173912748 48.23411096896811, 16.362271798409513 48.234154471591566, 16.362243931460494 48.234229049029096, 16.362231551939775 48.23429118542625, 16.36223470058231 48.2343678242146, 16.362237831546473 48.234436180327705, 16.362234767166807 48.23449832359414, 16.362222373838478 48.234533534542265, 16.3621984476853 48.23457563685398, 16.36220983854156 48.23460716419652, 16.362259777364784 48.23462848454163)",Getrennte Führung,baulicher Radweg,16054610,
RADWEGEOGD.16054611,"LINESTRING (16.376114104756272 48.199114176155184, 16.376199733976993 48.19915794312583, 16.376226786685724 48.19917608193546)",Getrennte Führung,baulicher Radweg,16054611,
RADWEGEOGD.16054612,"LINESTRING (16.47233582289697 48.25182371626995, 16.472119969571096 48.25181495180886, 16.472049722910654 48.25181156357183)",Markierte Anlagen,Radfahrerüberfahrt,16054612,
RADWEGEOGD.16054613,"LINESTRING (16.435516735546216 48.16820562089428, 16.436076875498166 48.16823993869712, 16.436649932189408 48.16827927868214, 16.4369464413055 48.16830151990364, 16.437090689090194 48.1683123469725, 16.4372397594268 48.16832120009554, 16.43733428135993 48.168326809573934, 16.4374145914085 48.16833157714938, 16.43808816807821 48.16834932743755, 16.438270605426954 48.16835083809604, 16.438579821273176 48.16835338659324, 16.438807848952074 48.16835583599028, 16.438881106600018 48.16835662483943, 16.43919019662104 48.16833661675911, 16.439191083811483 48.168336562003645, 16.43939132064612 48.16831785609253, 16.43944862138388 48.16831249855379, 16.439680739043244 48.168283151433435, 16.43994444178347 48.168249908208445, 16.440235828024008 48.16821142321144, 16.440420295261745 48.16818656942848, 16.440524121005463 48.16817258055708, 16.440809739063024 48.16814075434532, 16.441036540255155 48.16812233611916, 16.44105612474901 48.168120744413876, 16.441238038217005 48.168103095237214, 16.44130223345288 48.16809686711402, 16.441564070123437 48.16807243525728, 16.441789106280318 48.16806548354888, 16.44201966287404 48.168062663202114, 16.44227417474189 48.168072051067576, 16.44252456434169 48.16810329576443, 16.442770402548398 48.16814380717983, 16.44300332249158 48.1681783046175, 16.443269323324632 48.16821690762366, 16.44354528337479 48.168260446984064, 16.44379569236598 48.16830014253984, 16.444107564247773 48.16835111127434, 16.444431025435314 48.16841483863839, 16.444733386686774 48.16848155281213, 16.44507825988137 48.16856153587344, 16.44542180045539 48.16864655538179, 16.44601606325433 48.16878961049012, 16.44640426277179 48.1688846567586, 16.44695486268986 48.16903932321604, 16.447078003197 48.16907935916357, 16.44722783344093 48.16913318278546)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054613,
RADWEGEOGD.16054614,"LINESTRING (16.334159572423843 48.15136695192149, 16.334500885374954 48.15215129571684)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054614,
RADWEGEOGD.16054615,"LINESTRING (16.404869615877686 48.217959980020765, 16.40476367243924 48.217962192751365, 16.403798841117972 48.217964914690604, 16.40364648437321 48.21796690192281)",Getrennte Führung,baulicher Radweg,16054615,
RADWEGEOGD.16054616,"LINESTRING (16.343078519337084 48.21832060859162, 16.343012101230627 48.21836306934573, 16.342789234629894 48.21843004570026)",Markierte Anlagen,Radfahrerüberfahrt,16054616,
RADWEGEOGD.16054617,"LINESTRING (16.302365558327967 48.204786911357516, 16.301207769781026 48.20495914546309, 16.300498694223567 48.205067404138575, 16.30030184786409 48.2050974522709, 16.300040014371376 48.20513631103321)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054617,
RADWEGEOGD.16054618,"LINESTRING (16.366763688587838 48.2160745728373, 16.366576041396616 48.21603397370559)",Markierte Anlagen,Radfahrerüberfahrt,16054618,
RADWEGEOGD.16054619,"LINESTRING (16.30272553404073 48.200815832253646, 16.302719898987007 48.200759578222936, 16.302705538902313 48.20037553789467)",Getrennte Führung,baulicher Radweg,16054619,
RADWEGEOGD.16054620,"LINESTRING (16.39705000455239 48.218804994414775, 16.398098863490702 48.21880103374636)",Getrennte Führung,Radfahren in Wohnstrassen,16054620,
RADWEGEOGD.16054621,"LINESTRING (16.410275060013028 48.287247821558324, 16.410293097745484 48.287318432363975)",Markierte Anlagen,Radfahrerüberfahrt,16054621,
RADWEGEOGD.16054622,"LINESTRING (16.338080153744603 48.19046242451043, 16.338075609690396 48.19051204909501, 16.338086209548273 48.19054901097971, 16.338133164408394 48.19059306784942, 16.338205243052922 48.19062586473957, 16.338307044976005 48.19063988319394, 16.33840735361601 48.1906448814045, 16.338515153321616 48.19063987892372, 16.3385989987632 48.19063086590576, 16.338762385420903 48.19060881982541, 16.338868639587997 48.190627442198235)",Markierte Anlagen,Mehrzweckstreifen,16054622,
RADWEGEOGD.16054623,"LINESTRING (16.34961401513137 48.18044835654432, 16.34961221716112 48.18051429504975)",Markierte Anlagen,Radfahrerüberfahrt,16054623,
RADWEGEOGD.16054624,"LINESTRING (16.40137827483577 48.26015358741021, 16.402316278595883 48.26097528040073)",Markierte Anlagen,Radfahren gegen die Einbahn,16054624,
RADWEGEOGD.16054625,"LINESTRING (16.397214807566712 48.28332931177659, 16.3972516287931 48.283337691704325, 16.3974790850274 48.28337146527162, 16.39770274305416 48.28338383694393, 16.397935728342688 48.28338759680453, 16.39827352867299 48.28339129952855, 16.398494305537962 48.28339427347327, 16.398611718251463 48.283393733027275, 16.39871428609071 48.28338511579097, 16.398864554700467 48.283356543798774, 16.39902942591755 48.28332541857818, 16.39923255280461 48.28327483810763, 16.399459320605665 48.28323056636605, 16.399643597423466 48.283224151483736, 16.39985628029817 48.283252424766125, 16.399969722943766 48.28327758730066, 16.400087934536106 48.283334294720454, 16.400158895034753 48.283403636637956, 16.400281927491584 48.28353287918542, 16.4004446272265 48.28374682300163, 16.400458104940608 48.283771051747586, 16.40045814893515 48.28380604371469)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054625,
RADWEGEOGD.16054626,"LINESTRING (16.397935761277644 48.16808621511704, 16.39803603105506 48.16800139980209, 16.39825595139173 48.16782829602234, 16.39859914369848 48.167584033237034, 16.39892077116105 48.16735247067645, 16.398966909587713 48.16731925137862, 16.399347700140282 48.16704483839096, 16.39951920863335 48.1669100250576, 16.40021346663054 48.16639684494758, 16.40061953994319 48.166086971213694, 16.40076116415687 48.165978891713436, 16.400933601771857 48.165840388490885, 16.401225727862506 48.16563086051158, 16.401243931967084 48.1656218029852, 16.401350308280545 48.165568862330076, 16.401393796486207 48.16554721785864, 16.401460062485068 48.16552953542623, 16.401518775927155 48.165513871743926, 16.40156683349688 48.16549128031369, 16.401578213073023 48.16548593184022)",Getrennte Führung,Radfahren in Fußgängerzonen,16054626,
RADWEGEOGD.16054382,"LINESTRING (16.41694851333339 48.230898234939524, 16.416941757629978 48.230890568542314, 16.41694338681794 48.23088233867102, 16.416955519852067 48.23086861559247, 16.417126676857567 48.23074657500071, 16.417375830167384 48.23058738229749, 16.41753840526781 48.230461677954054, 16.418366631760836 48.22984467996028, 16.418994793913743 48.229367016323486, 16.41953681531351 48.22898047638203, 16.420100109089223 48.22856149801929)",Getrennte Führung,getrennter Geh- und Radweg,16054382,
RADWEGEOGD.16054383,"LINESTRING (16.387762498727184 48.19381216675881, 16.38804100232118 48.19372782792566)",Getrennte Führung,baulicher Radweg,16054383,
RADWEGEOGD.16054384,"LINESTRING (16.328607525936494 48.20874299262293, 16.329567874061986 48.208594069832124)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054384,
RADWEGEOGD.16054385,"LINESTRING (16.307158976417316 48.215243275830936, 16.307547711966883 48.21519674329488)",Markierte Anlagen,Radfahren gegen die Einbahn,16054385,
RADWEGEOGD.16054386,"LINESTRING (16.32572672117807 48.209170152706626, 16.326684030079385 48.20902876304424)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054386,
RADWEGEOGD.16054387,"LINESTRING (16.2975695516766 48.1829664641645, 16.29709427153139 48.181399109886)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054387,
RADWEGEOGD.16054388,"LINESTRING (16.340171615127726 48.190150763026004, 16.340156735928144 48.19027045412764, 16.340124460634502 48.19048982652602)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054388,
RADWEGEOGD.16054389,"LINESTRING (16.27496883695922 48.18898292063944, 16.274953813898726 48.18877937836868)",Markierte Anlagen,Radfahren gegen die Einbahn,16054389,
RADWEGEOGD.16054390,"LINESTRING (16.41423374658992 48.230574570207594, 16.413962449939447 48.23044851761932, 16.413834622296523 48.23038714502855, 16.413645092024503 48.230282035331975, 16.413569651942414 48.230240196158206, 16.413396898979002 48.23014727843284, 16.41288519066937 48.22987202663947, 16.41259166844934 48.22971933896694, 16.412321296815463 48.22957415345516)",Getrennte Führung,getrennter Geh- und Radweg,16054390,
RADWEGEOGD.16054391,"LINESTRING (16.38030925597492 48.16617768343377, 16.3803057256776 48.16612603479824, 16.380297385253904 48.16611959524927, 16.38028260527972 48.166114506264826, 16.38021692829055 48.166105748715324, 16.379985762073538 48.166065277769675, 16.379947843665075 48.16603994929554, 16.37994401634357 48.16598164755954, 16.3801858198251 48.16518058068115)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054391,
RADWEGEOGD.16054392,"LINESTRING (16.410096000776434 48.163685753856115, 16.41007196663799 48.163658735632715, 16.410044256519868 48.16363679196207, 16.40991683828211 48.163565539468586, 16.409826363525124 48.16348676276011, 16.409597938040285 48.163255782660606, 16.40952199514315 48.16317657372724, 16.409469708660005 48.163123699853834, 16.409447584333527 48.16306867530173, 16.409434776080598 48.16303273746466, 16.40940450012909 48.16300212578379, 16.40934106288528 48.16293476184841)",Getrennte Führung,baulicher Radweg,16054392,
